Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
78.843735,108.77895,192.92091,-75.71446,544.75,-74.84133,176.11876,168.50482,-242.48952,919.6666666666666,0.5037402510643005,1313.7635498046875,151863,368.2665493488312,,68
-0.7638194,166.9681,195.06372,-212.94133,829.0,-20.15605,42.42732,49.72738,-57.76921,518.0,1.4640636444091797,936.384765625,153935,374.7912814617157,,69
-18.858969,16.54778,-6.4517527,-42.24656,925.0,43.928356,82.53248,158.19382,-33.81916,809.6666666666666,2.2611985206604004,843.9754638671875,156364,382.78856205940247,,70
82.46282,39.732307,135.27234,39.43426,968.6666666666666,117.06338,104.44708,228.73569,-22.503063,936.6666666666666,2.7964513301849365,1066.5145263671875,159174,391.9657413959503,,71
-23.295135,62.58568,39.290543,-85.88081,1000.0,-2.7215137,55.616096,52.89458,-58.33761,1000.0,1.4597247838974,276.61651611328125,161174,398.91192984580994,,72
-18.472706,66.419464,47.946754,-84.892166,1000.0,31.733088,127.879135,212.57855,-59.583477,916.3333333333334,1.7753355503082275,544.366943359375,163923,406.50605726242065,,73
-51.55027,11.481886,-40.068386,-63.032158,1000.0,-68.01831,24.13092,-43.88739,-92.14923,1000.0,0.3830435276031494,296.10150146484375,165923,413.0545861721039,,74
-129.96844,5.942295,-124.026146,-135.91074,1000.0,-106.09833,10.041157,-96.05717,-116.13948,1000.0,-0.058938607573509216,102.6126708984375,167923,419.22506976127625,,75
-95.693756,19.566742,-76.127014,-115.2605,1000.0,-80.10735,27.38988,-52.717472,-107.49723,1000.0,0.08557584136724472,119.3365478515625,169923,425.22640013694763,,76
-75.2291,4.7638626,-70.46524,-79.992966,1000.0,-120.08081,15.420502,-104.66031,-135.50131,1000.0,-0.5772107243537903,95.589111328125,171923,431.4078917503357,,77
-37.21341,14.4127445,-22.800663,-51.626152,1000.0,-57.522156,5.4975834,-52.02457,-63.019737,1000.0,0.3110760748386383,143.54998779296875,173923,438.20140409469604,,78
-57.42669,3.5593262,-53.867363,-60.986015,1000.0,-2.111557,29.341263,27.229706,-31.45282,1000.0,1.3820029497146606,240.5162353515625,175923,445.52310943603516,,79
